V1 V2 V3 V4
2878 chr12 53430671 53431049 cell1_MACS_peak_10197
156 chr1 7461874 7462344 cell1_MACS_peak_102
5105 chr12 53821940 53822294 cell1_MACS_peak_10210
3855 chr12 54446714 54447064 cell1_MACS_peak_10224
7493 chr12 55398325 55398564 cell1_MACS_peak_10234
8267 chr12 55703448 55703937 cell1_MACS_peak_10236
1895 chr12 55969962 55970398 cell1_MACS_peak_10241
9334 chr12 56107485 56107896 cell1_MACS_peak_10245
6850 chr1 44867566 44867917 cell1_MACS_peak_1028
9150 chr12 56880573 56880829 cell1_MACS_peak_10282
5523 chr12 57152717 57153729 cell1_MACS_peak_10283
2873 chr12 57156943 57157135 cell1_MACS_peak_10284
2227 chr1 44900761 44901233 cell1_MACS_peak_1029
616 chr12 57507742 57508047 cell1_MACS_peak_10297
3894 chr1 44919381 44919873 cell1_MACS_peak_1030
836 chr12 57762184 57762674 cell1_MACS_peak_10305
7185 chr12 58028629 58028977 cell1_MACS_peak_10315
6477 chr12 58359490 58359847 cell1_MACS_peak_10325
242 chr12 58856925 58857286 cell1_MACS_peak_10332
9674 chr12 59066174 59066530 cell1_MACS_peak_10337
4468 chr12 59144388 59144702 cell1_MACS_peak_10339
1116 chr12 59270768 59271405 cell1_MACS_peak_10343
2122 chr12 59308295 59308679 cell1_MACS_peak_10344
1562 chr12 60845259 60845690 cell1_MACS_peak_10355
8964 chr12 60971426 60971688 cell1_MACS_peak_10356
812 chr12 61107874 61108349 cell1_MACS_peak_10357
4650 chr12 61389229 61389634 cell1_MACS_peak_10359
6253 chr12 61539388 61539794 cell1_MACS_peak_10360
3838 chr12 62080932 62081248 cell1_MACS_peak_10365
9975 chr12 62202686 62202917 cell1_MACS_peak_10368
4890 chr1 45166850 45167176 cell1_MACS_peak_1037
327 chr12 62982656 62982968 cell1_MACS_peak_10373
8992 chr1 45172669 45173137 cell1_MACS_peak_1038
3264 chr12 63292350 63292774 cell1_MACS_peak_10381
8056 chr12 63360103 63360512 cell1_MACS_peak_10384
560 chr12 63536151 63536500 cell1_MACS_peak_10387
4204 chr12 64209742 64210149 cell1_MACS_peak_10391
1291 chr12 64311588 64312235 cell1_MACS_peak_10394
925 chr1 45224842 45225146 cell1_MACS_peak_1040
6280 chr12 64726588 64727119 cell1_MACS_peak_10400
3040 chr12 64729656 64729985 cell1_MACS_peak_10401
271 chr12 64775461 64775844 cell1_MACS_peak_10402
8619 chr12 65048871 65049299 cell1_MACS_peak_10410
9047 chr12 65133426 65133970 cell1_MACS_peak_10413
9639 chr12 65518857 65519245 cell1_MACS_peak_10423
4376 chr12 65721271 65721939 cell1_MACS_peak_10425
2641 chr12 65728754 65729614 cell1_MACS_peak_10426
3171 chr12 65891383 65891898 cell1_MACS_peak_10430
1739 chr12 66288346 66288812 cell1_MACS_peak_10439
4356 chr12 66289451 66290461 cell1_MACS_peak_10440
7647 chr12 66354725 66355310 cell1_MACS_peak_10443
4797 chr12 66438492 66438916 cell1_MACS_peak_10445
3792 chr12 67080765 67081262 cell1_MACS_peak_10454
7310 chr12 68493128 68493462 cell1_MACS_peak_10478
8870 chr12 68623070 68623297 cell1_MACS_peak_10479
1419 chr12 68685054 68685506 cell1_MACS_peak_10482
8594 chr12 69199339 69199723 cell1_MACS_peak_10499
5651 chr12 69291529 69291832 cell1_MACS_peak_10501
7218 chr12 69418746 69419156 cell1_MACS_peak_10503
3988 chr12 69446423 69447256 cell1_MACS_peak_10504
7994 chr12 69590056 69590431 cell1_MACS_peak_10506
2970 chr12 69726615 69727101 cell1_MACS_peak_10507
2856 chr12 70042273 70042775 cell1_MACS_peak_10513
5061 chr12 70319028 70319547 cell1_MACS_peak_10519
642 chr12 70583912 70584438 cell1_MACS_peak_10522
9897 chr12 70843152 70843665 cell1_MACS_peak_10527
270 chr12 70845391 70845608 cell1_MACS_peak_10528
9794 chr12 70861104 70861768 cell1_MACS_peak_10529
859 chr1 45801479 45802120 cell1_MACS_peak_1053
10 chr12 70937008 70937655 cell1_MACS_peak_10530
5015 chr12 70955168 70955678 cell1_MACS_peak_10534
9894 chr1 45814209 45814525 cell1_MACS_peak_1054
3558 chr12 71274484 71274920 cell1_MACS_peak_10540
6256 chr12 71307674 71308044 cell1_MACS_peak_10541
8531 chr12 71700572 71700978 cell1_MACS_peak_10552
2365 chr12 71930603 71931092 cell1_MACS_peak_10561
9538 chr12 73010170 73010475 cell1_MACS_peak_10574
9553 chr12 73553752 73554213 cell1_MACS_peak_10576
316 chr12 73941264 73941644 cell1_MACS_peak_10579
8031 chr1 45967995 45968434 cell1_MACS_peak_1058
432 chr12 74337940 74338293 cell1_MACS_peak_10581
2680 chr12 74788441 74788785 cell1_MACS_peak_10591
1983 chr12 75557316 75557734 cell1_MACS_peak_10598
1401 chr12 75571706 75572166 cell1_MACS_peak_10600
1706 chr12 75832908 75833221 cell1_MACS_peak_10602
9790 chr12 75993893 75994286 cell1_MACS_peak_10607
4772 chr12 76105899 76106454 cell1_MACS_peak_10612
5259 chr12 76119235 76119869 cell1_MACS_peak_10615
1840 chr1 46083190 46083673 cell1_MACS_peak_1062
2112 chr12 77829097 77829639 cell1_MACS_peak_10648
9556 chr12 77903156 77903470 cell1_MACS_peak_10650
2627 chr12 78282362 78282821 cell1_MACS_peak_10656
466 chr12 78579386 78579942 cell1_MACS_peak_10658
3555 chr12 78842595 78842826 cell1_MACS_peak_10663
4088 chr12 79308669 79309010 cell1_MACS_peak_10666
9174 chr12 79322255 79322599 cell1_MACS_peak_10667
2985 chr12 79346048 79346567 cell1_MACS_peak_10668
885 chr12 79940961 79942418 cell1_MACS_peak_10673
7389 chr12 79943145 79943881 cell1_MACS_peak_10674
5731 chr12 80037572 80038111 cell1_MACS_peak_10677
6367 chr12 80078773 80079414 cell1_MACS_peak_10678
1957 chr12 80099996 80100380 cell1_MACS_peak_10679
4374 chr12 80141917 80142293 cell1_MACS_peak_10680
2179 chr1 46347333 46347577 cell1_MACS_peak_1069
5221 chr12 81514567 81515201 cell1_MACS_peak_10707
197 chr12 81540016 81540523 cell1_MACS_peak_10709
8063 chr1 46357839 46358459 cell1_MACS_peak_1072
7017 chr12 82323892 82324172 cell1_MACS_peak_10721
2594 chr12 82850428 82850856 cell1_MACS_peak_10728
8960 chr12 82972576 82972885 cell1_MACS_peak_10730
8286 chr12 83290649 83291144 cell1_MACS_peak_10733
5561 chr12 83390298 83390590 cell1_MACS_peak_10734
7598 chr12 84390485 84390885 cell1_MACS_peak_10741
433 chr12 85095800 85096153 cell1_MACS_peak_10747
1528 chr12 85437704 85437999 cell1_MACS_peak_10751
6822 chr12 85486520 85487031 cell1_MACS_peak_10752
7920 chr12 85943335 85943810 cell1_MACS_peak_10757
9805 chr12 85969400 85969796 cell1_MACS_peak_10758
3336 chr12 86036541 86037055 cell1_MACS_peak_10759
3404 chr12 86364983 86365414 cell1_MACS_peak_10762
4391 chr12 86587599 86588131 cell1_MACS_peak_10764
8883 chr12 87409143 87409571 cell1_MACS_peak_10772
6133 chr12 88221360 88221941 cell1_MACS_peak_10776
8759 chr12 88263767 88264264 cell1_MACS_peak_10777
5357 chr12 88385330 88385638 cell1_MACS_peak_10778
7737 chr12 88932044 88932474 cell1_MACS_peak_10789
2416 chr1 46648788 46649323 cell1_MACS_peak_1079
6018 chr12 89354266 89354749 cell1_MACS_peak_10801
8278 chr12 89466569 89467089 cell1_MACS_peak_10804
769 chr12 89619767 89620305 cell1_MACS_peak_10808
7572 chr1 46755597 46755920 cell1_MACS_peak_1081
4003 chr12 89737459 89738255 cell1_MACS_peak_10811
6054 chr12 89746027 89747138 cell1_MACS_peak_10813
5494 chr12 89784413 89785543 cell1_MACS_peak_10817
8654 chr12 90052145 90052749 cell1_MACS_peak_10824
7618 chr12 90601580 90601882 cell1_MACS_peak_10833
315 chr12 90749515 90749931 cell1_MACS_peak_10836
1112 chr12 91245403 91246033 cell1_MACS_peak_10843
714 chr12 92806498 92806830 cell1_MACS_peak_10860
7295 chr12 93178858 93179278 cell1_MACS_peak_10864
8994 chr12 93293067 93293639 cell1_MACS_peak_10867
5872 chr12 93505516 93505947 cell1_MACS_peak_10879
1240 chr12 93521330 93522018 cell1_MACS_peak_10881
2085 chr1 7777630 7778152 cell1_MACS_peak_109
2073 chr12 94546072 94546851 cell1_MACS_peak_10906
988 chr12 94624136 94624784 cell1_MACS_peak_10910
2165 chr12 94910571 94911176 cell1_MACS_peak_10916
7390 chr12 95512077 95512671 cell1_MACS_peak_10927
2769 chr1 47283835 47284171 cell1_MACS_peak_1093
8515 chr12 95733858 95734332 cell1_MACS_peak_10932
8232 chr12 95923477 95923823 cell1_MACS_peak_10934
6034 chr12 96047843 96048466 cell1_MACS_peak_10938
5128 chr12 96155782 96156383 cell1_MACS_peak_10940
4314 chr12 96157725 96158156 cell1_MACS_peak_10941
734 chr12 96182320 96182862 cell1_MACS_peak_10942
5716 chr12 96196406 96197280 cell1_MACS_peak_10943
8288 chr12 96291764 96292377 cell1_MACS_peak_10947
4990 chr12 96359839 96360784 cell1_MACS_peak_10951
5977 chr12 96370130 96370801 cell1_MACS_peak_10953
5688 chr12 96728279 96728696 cell1_MACS_peak_10958
7471 chr1 47626309 47626767 cell1_MACS_peak_1096
8444 chr12 97225158 97225561 cell1_MACS_peak_10967
2472 chr12 97819235 97819596 cell1_MACS_peak_10974
5285 chr12 97965928 97966407 cell1_MACS_peak_10979
7727 chr12 98155935 98156369 cell1_MACS_peak_10984
7012 chr12 98215576 98216033 cell1_MACS_peak_10986
2905 chr12 98389251 98389828 cell1_MACS_peak_10991
7132 chr1 7780879 7781249 cell1_MACS_peak_110
9025 chr12 99118170 99118551 cell1_MACS_peak_11006
6003 chr12 100977920 100978425 cell1_MACS_peak_11045
4643 chr12 101238842 101239322 cell1_MACS_peak_11049
7914 chr12 101432044 101432535 cell1_MACS_peak_11055
4864 chr12 101992975 101993620 cell1_MACS_peak_11063
4511 chr12 102089420 102090213 cell1_MACS_peak_11069
3110 chr12 102163576 102164112 cell1_MACS_peak_11070
8685 chr12 102288501 102288963 cell1_MACS_peak_11072
9483 chr12 103134897 103135292 cell1_MACS_peak_11085
1039 chr12 103245646 103246083 cell1_MACS_peak_11087
2111 chr12 103292615 103293445 cell1_MACS_peak_11088
3458 chr12 103297088 103297753 cell1_MACS_peak_11089
4484 chr1 48211895 48212279 cell1_MACS_peak_1109
1695 chr12 103313969 103314613 cell1_MACS_peak_11091
9263 chr12 103473082 103473490 cell1_MACS_peak_11093
431 chr1 48337382 48337883 cell1_MACS_peak_1113
9356 chr12 105496493 105496943 cell1_MACS_peak_11130
3485 chr12 105711554 105712590 cell1_MACS_peak_11134
4170 chr12 106303850 106304210 cell1_MACS_peak_11141
4106 chr12 106581467 106582036 cell1_MACS_peak_11149
6977 chr12 106689917 106690451 cell1_MACS_peak_11153
69 chr12 107248861 107249546 cell1_MACS_peak_11164
4359 chr12 107723239 107723675 cell1_MACS_peak_11174
5931 chr12 107742742 107743407 cell1_MACS_peak_11176
524 chr12 107745960 107746513 cell1_MACS_peak_11178
6365 chr12 107908886 107909464 cell1_MACS_peak_11183
759 chr1 48775233 48775749 cell1_MACS_peak_1120
595 chr12 108999109 108999468 cell1_MACS_peak_11205
9731 chr12 109058247 109059065 cell1_MACS_peak_11209
7862 chr1 48883504 48883801 cell1_MACS_peak_1121
9875 chr12 109167602 109168189 cell1_MACS_peak_11215
6008 chr1 48959951 48960570 cell1_MACS_peak_1122
1685 chr12 109859390 109859826 cell1_MACS_peak_11222
6468 chr12 110530779 110531137 cell1_MACS_peak_11248
4037 chr12 110542316 110542927 cell1_MACS_peak_11250
3803 chr12 110681073 110681347 cell1_MACS_peak_11256
2793 chr12 110685022 110685946 cell1_MACS_peak_11257
3809 chr12 110782888 110783384 cell1_MACS_peak_11261
8506 chr1 49209743 49210207 cell1_MACS_peak_1127
3798 chr12 111526305 111526637 cell1_MACS_peak_11278
1568 chr12 111715492 111715746 cell1_MACS_peak_11282
7306 chr12 111860070 111860322 cell1_MACS_peak_11287
7509 chr12 112549229 112549474 cell1_MACS_peak_11296
1276 chr12 112550140 112550691 cell1_MACS_peak_11297
1186 chr12 113674493 113674818 cell1_MACS_peak_11314
1863 chr1 49670341 49670783 cell1_MACS_peak_1132
4565 chr12 113993385 113993715 cell1_MACS_peak_11320
879 chr12 114018334 114018685 cell1_MACS_peak_11321
8378 chr12 114325812 114326283 cell1_MACS_peak_11328
2410 chr1 49706443 49706835 cell1_MACS_peak_1133
9399 chr12 114560893 114561380 cell1_MACS_peak_11332
2870 chr12 114701055 114701388 cell1_MACS_peak_11333
9004 chr12 114952897 114953408 cell1_MACS_peak_11335
8844 chr12 115279360 115279830 cell1_MACS_peak_11345
258 chr12 115342259 115342806 cell1_MACS_peak_11347
6042 chr12 115371256 115371740 cell1_MACS_peak_11349
8479 chr12 115374391 115374857 cell1_MACS_peak_11350
1381 chr12 115516023 115516527 cell1_MACS_peak_11355
2913 chr1 50052984 50053214 cell1_MACS_peak_1136
7456 chr12 115702303 115702784 cell1_MACS_peak_11361
9844 chr12 115751622 115752296 cell1_MACS_peak_11362
527 chr12 115789371 115789858 cell1_MACS_peak_11364
5966 chr12 115981029 115981548 cell1_MACS_peak_11373
8437 chr1 50135970 50136369 cell1_MACS_peak_1138
3642 chr12 116277945 116278460 cell1_MACS_peak_11381
4394 chr12 116310809 116311195 cell1_MACS_peak_11382
7586 chr12 116570902 116571267 cell1_MACS_peak_11387
5916 chr12 116573366 116573756 cell1_MACS_peak_11388
2137 chr1 7991243 7991784 cell1_MACS_peak_114
2604 chr12 117119089 117119484 cell1_MACS_peak_11403
83 chr12 117203202 117203463 cell1_MACS_peak_11406
7654 chr1 50525927 50526296 cell1_MACS_peak_1141
6248 chr12 117362896 117363250 cell1_MACS_peak_11413
8326 chr12 117386181 117386543 cell1_MACS_peak_11414
4418 chr12 117953876 117954167 cell1_MACS_peak_11426
5339 chr12 118295108 118295405 cell1_MACS_peak_11432
1038 chr12 118303333 118303849 cell1_MACS_peak_11433
199 chr12 118506134 118506677 cell1_MACS_peak_11438
9545 chr12 118562264 118562719 cell1_MACS_peak_11441
7357 chr12 118576398 118576827 cell1_MACS_peak_11442
5644 chr12 118889244 118889598 cell1_MACS_peak_11449
5927 chr12 118962944 118963334 cell1_MACS_peak_11453
9671 chr12 119041408 119042001 cell1_MACS_peak_11454
7233 chr12 119683720 119684113 cell1_MACS_peak_11468
2287 chr12 119870673 119871138 cell1_MACS_peak_11471
8609 chr12 119942822 119943279 cell1_MACS_peak_11475
5951 chr12 120233857 120234305 cell1_MACS_peak_11479
6355 chr12 120759104 120759588 cell1_MACS_peak_11497
2524 chr12 121122144 121122633 cell1_MACS_peak_11509
4329 chr1 51020241 51020586 cell1_MACS_peak_1151
2 chr12 121186072 121186405 cell1_MACS_peak_11510
4869 chr12 121316928 121317355 cell1_MACS_peak_11512
8703 chr12 121463405 121463868 cell1_MACS_peak_11516
494 chr12 121510690 121511013 cell1_MACS_peak_11517
1632 chr12 121582255 121582590 cell1_MACS_peak_11521
4186 chr12 121725013 121725349 cell1_MACS_peak_11526
7922 chr12 121988676 121989252 cell1_MACS_peak_11531
4232 chr12 122660929 122661213 cell1_MACS_peak_11556
1317 chr12 122931016 122931253 cell1_MACS_peak_11563
9632 chr12 122976421 122977181 cell1_MACS_peak_11569
4534 chr12 123010616 123010971 cell1_MACS_peak_11570
7236 chr12 123341856 123342234 cell1_MACS_peak_11577
8877 chr12 123382685 123383912 cell1_MACS_peak_11580
2914 chr12 123590097 123590465 cell1_MACS_peak_11589
4025 chr12 123956157 123956671 cell1_MACS_peak_11597
9466 chr12 123968040 123968617 cell1_MACS_peak_11598
150 chr12 124080391 124080942 cell1_MACS_peak_11602
1219 chr12 124313343 124313681 cell1_MACS_peak_11606
1827 chr12 124433153 124433779 cell1_MACS_peak_11608
930 chr12 124687681 124688046 cell1_MACS_peak_11614
9090 chr12 125306080 125306831 cell1_MACS_peak_11623
9842 chr12 126277176 126277497 cell1_MACS_peak_11645
1514 chr12 126320609 126320902 cell1_MACS_peak_11647
206 chr12 126752189 126752798 cell1_MACS_peak_11651
718 chr12 126761499 126761935 cell1_MACS_peak_11652
2502 chr12 126948707 126949138 cell1_MACS_peak_11656
6781 chr12 127036776 127037133 cell1_MACS_peak_11660
1588 chr12 127751612 127752031 cell1_MACS_peak_11671
8585 chr12 128652906 128653176 cell1_MACS_peak_11678
5031 chr12 129240120 129240589 cell1_MACS_peak_11686
1187 chr12 129345844 129346443 cell1_MACS_peak_11688
2228 chr12 129627063 129627451 cell1_MACS_peak_11692
3861 chr12 129897940 129898359 cell1_MACS_peak_11696
4058 chr12 130483976 130484227 cell1_MACS_peak_11701
8701 chr12 131067807 131068788 cell1_MACS_peak_11713
7855 chr12 132863479 132863828 cell1_MACS_peak_11740
1137 chr12 133501542 133501951 cell1_MACS_peak_11751
8779 chr13 19641905 19642224 cell1_MACS_peak_11758
5698 chr13 20205517 20205841 cell1_MACS_peak_11764
975 chr13 20928058 20928494 cell1_MACS_peak_11770
1831 chr13 21131880 21132479 cell1_MACS_peak_11776
3147 chr13 21976932 21977522 cell1_MACS_peak_11790
5008 chr13 22115447 22115897 cell1_MACS_peak_11797
3113 chr13 22485838 22486120 cell1_MACS_peak_11808
8855 chr1 52418232 52418585 cell1_MACS_peak_1181
2149 chr13 22747625 22748147 cell1_MACS_peak_11811
8559 chr13 22977278 22977711 cell1_MACS_peak_11814
1813 chr13 23289859 23290111 cell1_MACS_peak_11818
5978 chr1 52434962 52435542 cell1_MACS_peak_1182
698 chr13 23720835 23721348 cell1_MACS_peak_11822
8597 chr13 23945740 23946341 cell1_MACS_peak_11826
9243 chr13 24021933 24022215 cell1_MACS_peak_11828
1131 chr13 24132836 24133561 cell1_MACS_peak_11829
8317 chr1 52436206 52436419 cell1_MACS_peak_1183
839 chr13 24173576 24173997 cell1_MACS_peak_11831
5795 chr13 24184231 24184652 cell1_MACS_peak_11832
3854 chr13 24189491 24190279 cell1_MACS_peak_11833
5088 chr13 24249157 24249567 cell1_MACS_peak_11837
8945 chr13 24352131 24352620 cell1_MACS_peak_11841
7845 chr13 24606873 24607289 cell1_MACS_peak_11846
9522 chr13 24671174 24671736 cell1_MACS_peak_11849
2827 chr13 24701568 24702280 cell1_MACS_peak_11851
5548 chr13 24722698 24723444 cell1_MACS_peak_11852
5878 chr13 24761138 24761559 cell1_MACS_peak_11855
8493 chr13 24795192 24795588 cell1_MACS_peak_11858
9521 chr13 24862790 24863290 cell1_MACS_peak_11863
3902 chr13 25141636 25142103 cell1_MACS_peak_11865
4588 chr13 25893174 25893537 cell1_MACS_peak_11869
8443 chr13 26581849 26582319 cell1_MACS_peak_11876
3872 chr13 27565589 27566446 cell1_MACS_peak_11892
6218 chr1 8081019 8081492 cell1_MACS_peak_119
5408 chr13 27927166 27927654 cell1_MACS_peak_11901
1279 chr13 28253486 28253940 cell1_MACS_peak_11913
3236 chr1 52816256 52816510 cell1_MACS_peak_1192
3763 chr13 28873208 28873422 cell1_MACS_peak_11924
5860 chr13 29132276 29132579 cell1_MACS_peak_11928
8835 chr13 29791408 29791676 cell1_MACS_peak_11936
9127 chr1 52865772 52866200 cell1_MACS_peak_1194
4 chr13 30046497 30046897 cell1_MACS_peak_11940
3052 chr13 30168259 30168858 cell1_MACS_peak_11941
6187 chr13 30503322 30503679 cell1_MACS_peak_11950
332 chr13 30544253 30544676 cell1_MACS_peak_11952
296 chr13 30699880 30700199 cell1_MACS_peak_11955
2231 chr13 30963696 30964143 cell1_MACS_peak_11958
9238 chr13 31279789 31280189 cell1_MACS_peak_11965
7558 chr13 31407098 31407391 cell1_MACS_peak_11969
1690 chr1 52969426 52969862 cell1_MACS_peak_1197
222 chr13 31435274 31435610 cell1_MACS_peak_11972
4616 chr13 31638922 31639182 cell1_MACS_peak_11980
4701 chr13 31741433 31742186 cell1_MACS_peak_11985
7958 chr1 53066519 53067190 cell1_MACS_peak_1200
1604 chr13 32556650 32557105 cell1_MACS_peak_12003
3456 chr13 32590259 32590653 cell1_MACS_peak_12006
9915 chr13 32715744 32716112 cell1_MACS_peak_12013
1917 chr1 53280023 53280617 cell1_MACS_peak_1202
764 chr13 32933806 32934300 cell1_MACS_peak_12022
8331 chr13 33013327 33013825 cell1_MACS_peak_12024
1191 chr13 33027301 33027723 cell1_MACS_peak_12026
8937 chr13 33365622 33366111 cell1_MACS_peak_12028
5668 chr13 33646385 33646926 cell1_MACS_peak_12035
8030 chr13 33742406 33742979 cell1_MACS_peak_12039
8448 chr13 33782469 33782689 cell1_MACS_peak_12040
3968 chr13 33853939 33854367 cell1_MACS_peak_12044
8711 chr13 34271202 34271705 cell1_MACS_peak_12059
7480 chr13 34593722 34594539 cell1_MACS_peak_12065
6601 chr13 34731052 34731666 cell1_MACS_peak_12069
2132 chr1 53605465 53605949 cell1_MACS_peak_1208
3271 chr13 35442858 35443180 cell1_MACS_peak_12080
4162 chr13 35840626 35840998 cell1_MACS_peak_12085
9614 chr13 35923719 35924387 cell1_MACS_peak_12088
787 chr13 36430793 36431308 cell1_MACS_peak_12095
2074 chr13 36593436 36593858 cell1_MACS_peak_12099
6893 chr13 36603226 36603644 cell1_MACS_peak_12100
5278 chr13 36605172 36605606 cell1_MACS_peak_12101
5054 chr13 36760534 36760894 cell1_MACS_peak_12103
1692 chr13 36907163 36907405 cell1_MACS_peak_12107
4997 chr13 36926537 36926871 cell1_MACS_peak_12109
4816 chr13 37761334 37761665 cell1_MACS_peak_12118
7888 chr13 38458697 38459238 cell1_MACS_peak_12124
8857 chr13 38934967 38935223 cell1_MACS_peak_12128
9879 chr13 39248393 39248845 cell1_MACS_peak_12133
1258 chr13 40587586 40588199 cell1_MACS_peak_12148
8066 chr13 40633624 40633989 cell1_MACS_peak_12149
7576 chr13 40706314 40706669 cell1_MACS_peak_12157
3665 chr1 53903340 53903797 cell1_MACS_peak_1216
6782 chr13 41024877 41025156 cell1_MACS_peak_12167
4322 chr13 41077811 41078885 cell1_MACS_peak_12169
7875 chr13 41108558 41109074 cell1_MACS_peak_12170
8109 chr13 41110701 41111290 cell1_MACS_peak_12171
307 chr13 41213262 41213707 cell1_MACS_peak_12175
7432 chr13 41360545 41361120 cell1_MACS_peak_12182
9754 chr13 41375723 41376181 cell1_MACS_peak_12183
7902 chr13 42018194 42018519 cell1_MACS_peak_12202
3891 chr13 42139358 42139821 cell1_MACS_peak_12206
9009 chr13 42219439 42219876 cell1_MACS_peak_12210
1454 chr13 42270590 42271084 cell1_MACS_peak_12212
1784 chr13 42684515 42685148 cell1_MACS_peak_12220
6557 chr13 42696078 42696448 cell1_MACS_peak_12221
6140 chr13 42887019 42887501 cell1_MACS_peak_12222
19 chr13 43406902 43407326 cell1_MACS_peak_12232
1897 chr13 43570713 43571012 cell1_MACS_peak_12234
599 chr13 43801768 43802156 cell1_MACS_peak_12237
8713 chr1 54433775 54434138 cell1_MACS_peak_1224
7768 chr13 44682323 44683105 cell1_MACS_peak_12246
6188 chr13 44844304 44844710 cell1_MACS_peak_12249
2506 chr13 44936811 44937223 cell1_MACS_peak_12250
6639 chr13 45024293 45025024 cell1_MACS_peak_12252
3856 chr1 54484697 54484888 cell1_MACS_peak_1227
4730 chr13 45827467 45827946 cell1_MACS_peak_12272
3008 chr13 45832056 45832487 cell1_MACS_peak_12274
110 chr13 45855806 45856053 cell1_MACS_peak_12275
3379 chr13 45875846 45876235 cell1_MACS_peak_12276
2088 chr13 45906224 45906873 cell1_MACS_peak_12279
2542 chr13 46021218 46021870 cell1_MACS_peak_12285
3910 chr13 46138233 46138769 cell1_MACS_peak_12288
5909 chr13 46671034 46671420 cell1_MACS_peak_12296
9800 chr13 46716825 46717946 cell1_MACS_peak_12298
2738 chr13 46726734 46727508 cell1_MACS_peak_12299
7666 chr13 46795226 46795715 cell1_MACS_peak_12302
409 chr13 47110018 47110282 cell1_MACS_peak_12311
9490 chr13 47591593 47591943 cell1_MACS_peak_12322
2283 chr13 47932717 47932970 cell1_MACS_peak_12326
4417 chr13 48031845 48032186 cell1_MACS_peak_12329
59 chr13 48254827 48255322 cell1_MACS_peak_12331
8459 chr13 48684584 48684954 cell1_MACS_peak_12339
8279 chr13 48767901 48768285 cell1_MACS_peak_12344
7849 chr13 49020598 49020928 cell1_MACS_peak_12348
1919 chr13 49200118 49200668 cell1_MACS_peak_12352
1679 chr13 49393963 49394496 cell1_MACS_peak_12358
7035 chr13 49403186 49403563 cell1_MACS_peak_12359
5658 chr1 55322165 55322558 cell1_MACS_peak_1236
7220 chr13 49466392 49466804 cell1_MACS_peak_12361
1069 chr13 49524683 49525021 cell1_MACS_peak_12365
7806 chr13 49667565 49667930 cell1_MACS_peak_12371
3657 chr13 50285677 50285976 cell1_MACS_peak_12383
5210 chr13 50531314 50531749 cell1_MACS_peak_12394
8693 chr13 50815614 50816148 cell1_MACS_peak_12402
8466 chr13 50849469 50849951 cell1_MACS_peak_12404
8525 chr13 51126574 51127061 cell1_MACS_peak_12408
667 chr13 51203597 51204170 cell1_MACS_peak_12410
4777 chr13 51246140 51246621 cell1_MACS_peak_12411
1601 chr13 51510884 51511136 cell1_MACS_peak_12416
4820 chr13 51865362 51866035 cell1_MACS_peak_12423
7585 chr13 51927678 51928181 cell1_MACS_peak_12424
9367 chr1 55385233 55385759 cell1_MACS_peak_1243
8961 chr13 52302510 52302902 cell1_MACS_peak_12435
5761 chr13 52338181 52338798 cell1_MACS_peak_12437
